stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,text_Feedback_Prac1.started,resp_trial_Prac1.rt,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.stopped,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,X,space,,,,,,,0,19,19,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.2336113340025,216.2336113340025,216.53353779200188,space,1,0.3157738749978307,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,T,none,,,,,,,0,20,20,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.2332798339994,217.2332798339994,217.53344925000056,None,1,,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,21,21,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.23367054200207,218.23367054200207,218.53342016700117,space,1,0.3027344579968485,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,22,22,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.23355112500212,219.23355112500212,219.5332867090001,space,1,0.2997429579954769,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,23,23,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.23373245900075,220.23373245900075,220.5334770840018,space,1,0.3309667499961506,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,24,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.23376641700088,221.23376641700088,221.53363600000012,space,1,0.31509587499749614,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,25,25,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.2335573340024,222.2335573340024,222.53381445900231,space,1,0.40964058299869066,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,26,26,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.23359524999978,223.23359524999978,223.53337054200165,space,1,0.3414405829971656,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,27,27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.23379704200124,224.23379704200124,224.533920959002,space,1,0.33518112499950803,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,28,28,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.23423008400277,225.23423008400277,225.53395708400058,space,1,0.3423681249987567,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
