stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,text_Feedback_Prac1.started,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.stopped,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,X,space,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.16752779200033,121.16752779200033,121.46707379200052,space,1,0.3205888739994407,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,28,28,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.16692991700074,122.16692991700074,122.46689012500065,space,1,0.3824782490009966,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,W,none,,,,,,,0,29,29,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.16696583300109,123.16696583300109,123.46707891700134,None,1,,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,30,30,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.1673485829997,124.1673485829997,124.46725066700128,space,1,0.34172545799992804,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,31,31,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.16743450000104,125.16743450000104,125.46718345800036,space,1,0.30479983299846936,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,32,32,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.16714254200087,126.16714254200087,126.46799212500082,space,1,0.28193199999986973,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,33,33,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.16703695800061,127.16703695800061,127.46722175000104,space,1,0.3654373330009548,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,34,34,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.16746970799977,128.16746970799977,128.46710975000133,space,1,0.4148869990003732,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,N,none,,,,,,,0,35,35,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.1674038330002,129.1674038330002,129.46702775000085,None,1,,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,K,none,,,,,,,0,36,36,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.1670387080012,130.1670387080012,130.46729333300027,None,1,,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
